"ID";"指示符";"封裝";"數量";"名稱";"供應商和參考";
1;"LED1,LED2,LED3";"LED_SK6805-EC15_1.5x1.5mm_P0.6mm_handsolder(1)";3;"SK6805-EC15";;;
2;"KEY9,KEY17,KEY16,KEY15,KEY12,KEY11,KEY33,KEY32,KEY7,KEY29,KEY1,KEY35,KEY19,KEY13,KEY8,KEY6,KEY36,KEY28,KEY21,KEY31,KEY18,KEY22,KEY10,KEY20,KEY5,KEY23,KEY3,KEY2,KEY4,KEY37,KEY30,KEY24,KEY27,KEY34";"MX-Solderable-1U";34;"SW_Push_45deg";;;
3;"KEY38,KEY44,KEY46,KEY41,KEY39,KEY45,KEY14,KEY40";"MX-Solderable-1.25U";8;"SW_Push_45deg";;;
4;"J2";"PinHeader_1x04_P2.54mm_Vertical_debug";1;"NA_Conn_01x04_Female";;;
5;"KEY25,KEY26";"MX-Solderable-1.75U";2;"SW_Push_45deg";;;
6;"KEY42";"MX-Solderable-2U-ReversedStabilizers";1;"SW_Push_45deg";;;
7;"KEY43";"MX-Solderable-2.25U-ReversedStabilizers";1;"SW_Push_45deg";;;
8;"D33,D14,D28,D16,D18,D3,D46,D11,D24,D20,D41,D40,D31,D42,D39,D32,D25,D7,D23,D37,D1,D19,D27,D26,D13,D44,D45,D15,D8,D34,D17,D30,D29,D43,D10,D4,D2,D9,D38,D12,D35,D36,D6,D22,D21,D5";"D_SOD-123";46;"1N4148";;;
9;"R7,R1,R2";"R_0402_1005Metric";3;"5.1k";;;
10;"U4";"QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm";1;"RP2040";;;
11;"R6,R3";"R_0402_1005Metric";2;"27";;;
12;"C4,C3";"C_0402_1005Metric";2;"15pF";;;
13;"C17";"C_0402_1005Metric";1;"1µ";;;
14;"C13,C8,C19,C10,C11,C7,C16,C14,C15,C12";"C_0402_1005Metric";10;"100nF";;;
15;"SW2";"SW_SPST_TL3342";1;"RESET";;;
16;"R4,R9";"R_0402_1005Metric";2;"1k";;;
17;"C2,C1";"C_0603_1608Metric";2;"1µ";;;
18;"R11";"R_0402_1005Metric";1;"330";;;
19;"Y1";"Crystal_SMD_2520-4Pin_2.5x2.0mm";1;"12MHz";;;
20;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
21;"F1";"Fuse_0603_1608Metric";1;"Polyfuse";;;
22;"U2";"SOT-666";1;"USBLC6-2P6";;;
23;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
24;"FB1";"L_0603_1608Metric";1;"FerriteBead_Small";;;
25;"R10,R5,R8";"R_0402_1005Metric";3;"10k";;;
26;"C6,C5";"C_0402_1005Metric";2;"1uF";;;
27;"SW1";"SW_SPST_TL3342";1;"BOOT";;;
28;"D1001";"D_SOD-323";1;"B5817";;;
29;"U1";"SOT-23-5";1;"XC6210B332MR-G";;;
