Designator,Mid X,Mid Y,Rotation,Layer
C1,-20.46,-28.0,180.0,bottom
C10,75.94,-48.7,0.0,bottom
C11,76.14,-54.4,270.0,bottom
C12,80.732,-59.4995,270.0,bottom
C13,86.74,-53.7,180.0,bottom
C14,86.44,-48.6,90.0,bottom
C15,75.94,-49.8,0.0,bottom
C16,82.34,-44.8,90.0,bottom
C2,-16.56,-31.2,90.0,bottom
C3,73.94,-33.0,0.0,bottom
C4,86.34,-58.7,90.0,bottom
C5,81.915,-60.325,90.0,bottom
C6,77.14,-47.6,0.0,bottom
C7,77.64,-45.9,90.0,bottom
C8,83.44,-44.8,90.0,bottom
C9,79.54,-59.5,270.0,bottom
D1,-42.70375,-28.575,0.0,bottom
D10,159.7025,-30.1,90.0,bottom
D11,178.7525,-30.1,90.0,bottom
D12,197.8025,-30.1,90.0,bottom
D13,216.8525,-30.1,90.0,bottom
D14,-32.385,-49.2125,90.0,bottom
D15,-10.95375,-49.2125,90.0,bottom
D16,8.09625,-50.8,90.0,bottom
D17,27.14625,-53.11875,90.0,bottom
D18,45.4025,-56.35625,90.0,bottom
D19,64.4525,-58.7375,90.0,bottom
D2,-10.16,-26.9875,90.0,bottom
D20,110.49,-57.15,90.0,bottom
D21,128.74625,-54.76875,90.0,bottom
D22,147.79625,-51.59375,90.0,bottom
D23,166.84625,-49.2125,90.0,bottom
D24,185.89625,-49.15,90.0,bottom
D25,212.09,-49.2125,90.0,bottom
D26,-32.385,-67.46875,90.0,bottom
D27,-6.19125,-68.2625,90.0,bottom
D28,13.6525,-69.85,90.0,bottom
D29,32.7025,-72.23125,90.0,bottom
D3,8.89,-28.575,90.0,bottom
D30,50.14,-75.4,90.0,bottom
D31,69.74,-77.95,90.0,bottom
D32,101.54,-76.45,90.0,bottom
D33,120.24,-73.7,90.0,bottom
D34,139.34,-71.05,90.0,bottom
D35,157.94,-68.7,90.0,bottom
D36,176.84,-67.7,90.0,bottom
D37,196.04,-67.9,90.0,bottom
D38,217.54,-67.6,90.0,bottom
D39,-34.16,-86.9,90.0,bottom
D4,27.94,-31.75,90.0,bottom
D40,-10.76,-87.2,90.0,bottom
D41,27.44,-91.25,90.0,bottom
D42,57.44,-95.6,90.0,bottom
D43,117.04,-93.45,90.0,bottom
D44,149.74,-88.9,90.0,bottom
D45,178.34,-86.5,90.0,bottom
D46,215.34,-86.8,90.0,bottom
D47,200.04,-86.2,90.0,bottom
D5,46.99,-33.3375,90.0,bottom
D6,66.04,-37.24375,90.0,bottom
D7,102.5525,-38.1,90.0,bottom
D8,121.6025,-34.8625,90.0,bottom
D9,140.6525,-32.48125,90.0,bottom
F1,-27.26,-20.3,270.0,bottom
J1,-29.16,-10.54,180.0,bottom
J2,78.44,-92.3,90.0,top
KEY1,-38.735,-23.8125,0.0,top
KEY10,151.94,-25.55,8.0,top
KEY11,171.84,-23.95,0.0,top
KEY12,190.89,-23.95,0.0,top
KEY13,209.94,-23.95,0.0,top
KEY14,-38.93,-43.07,0.0,top
KEY15,-17.6,-43.06,0.0,top
KEY16,2.33,-43.78,352.0,top
KEY17,21.14,-46.4,352.0,top
KEY18,40.04,-49.04,352.0,top
KEY19,58.93,-51.73,352.0,top
KEY2,-19.685,-23.8125,0.0,top
KEY20,102.71,-51.75,8.0,top
KEY21,121.59,-49.1,8.0,top
KEY22,140.44,-46.4,8.0,top
KEY23,159.29,-43.75,8.0,top
KEY24,179.29,-43.2,0.0,top
KEY25,205.49,-43.2,0.0,top
KEY26,-37.1475,-62.3,0.0,top
KEY27,-10.95375,-62.3,0.0,top
KEY28,9.09,-63.95,352.0,top
KEY29,27.94,-66.6,352.0,top
KEY3,0.24,-24.25,352.0,top
KEY30,46.79,-69.25,352.0,top
KEY31,65.69,-71.9,352.0,top
KEY32,95.94,-71.95,8.0,top
KEY33,114.79,-69.3,8.0,top
KEY34,133.64,-66.65,8.0,top
KEY35,152.54,-64.0,8.0,top
KEY36,172.44,-62.45,0.0,top
KEY37,191.49,-62.45,0.0,top
KEY38,212.89,-62.45,0.0,top
KEY39,-39.81,-81.55,0.0,top
KEY4,19.12,-26.89,352.0,top
KEY40,-16.01,-81.55,0.0,top
KEY41,22.94,-85.15,352.0,top
KEY42,53.59,-89.45,352.0,top
KEY43,110.39,-89.15,8.0,top
KEY44,143.39,-84.5,8.0,top
KEY45,172.44,-81.7,0.0,top
KEY46,210.64,-81.7,0.0,top
KEY47,191.54,-81.7,180.0,top
KEY48,187.04,-81.7,0.0,top
KEY5,37.99,-29.55,352.0,top
KEY6,56.83,-32.18,352.0,top
KEY7,95.34,-33.54,8.0,top
KEY8,114.21,-30.9,8.0,top
KEY9,133.09,-28.2,8.0,top
R1,-30.66,-17.7,270.0,bottom
R2,-25.36,-18.1,270.0,bottom
R3,80.94,-45.3,270.0,bottom
R4,79.14,-45.3,270.0,bottom
R5,85.6,-30.95625,180.0,bottom
R6,85.34,-33.0,270.0,bottom
R7,81.94,-58.3,90.0,bottom
R8,78.34,-59.5,90.0,bottom
SW1,79.84,-29.1,0.0,bottom
SW2,80.54,-68.6,90.0,bottom
U1,-19.36,-30.4,180.0,bottom
U2,-29.21,-25.4,180.0,bottom
U3,79.84,-35.395,0.0,bottom
U4,81.24,-52.3875,0.0,bottom
Y1,84.034,-59.4995,90.0,bottom
